#percentage  seed  absolute_enhancement  relative_enhancement
80 -10717440 15.55477423140788671021 94.26257908185923109648
80 -18605 17.52248458825902691361 27.21945117086909542486
80 -210192 22.78952343112723049802 771.71790452795143189093
80 -86116 9.34650419719946833531 5.77722375682773480351
90 -407392 19.27436070687037142539 200.43457274022119287397
90 -182976512 4.54397367385941109622 10.42905034224889895400
90 -6380288 9.61709335200669994925 13.69687998956852739676
90 -25522688 16.02292937691894447700 8.74562240449057713707
90 -182976512 4.54397367385941109622 10.42905034224889895400
90 -6380544 17.35627543909580609834 9.66303057420966420580
90 -1845493760 24.03687092815488521777 22.46722996441873102824
90 -6380288 9.61709335200669994925 13.69687998956852739676
90 -204267520 10.58380166183298849476 6.99349157300484963624
90 -1639317504 9.55780240732254329494 22.87854320872590814734
90 -51648512 2.95029729071963946247 1.34426816997467335252
90 -834666496 9.55557160267139777290 21.81648054575444609179
90 -206804 12.66258320534737099892 89.80627370631328466436
90 -3307840 8.22763742493408579651 1.53608050788938912346
90 -103476 8.79748188452072185849 14.69896496265048594862
90 -51737 4.89806866772347948663 3.27405750360853803504
90 -51737 4.89806866772347948663 3.27405750360853803504
#90 289406976
90 -35494 9.94375717800572566848 4.68067926978220436364
90 -179936 5.42910201882142529305 7.13171722366673315112
90 -443168 7.73754191794816500758 13.49011378175541140337
90 -899520 14.45524845584082604100 367.02274929533387716164
90 -43476992 5.98010733550398997777 9.32339744679022249543
90 -179024 5.36205537170355311164 14.60134920167421283467
90 -114024448 18.27544270100460474030 167.11140948398150720380
#90 796262400
90 -78970880 12.86362834052483918308 20.56970742740623473186
90 -17583 14.04853873980005066846 136.80753425021444489684
90 -2966656 13.32192822782640360870 35.40485037645782957197
90 -38496 7.04122018113266210975 3.28615406809693968477
#90 1530920960
#90 1342177280
90 -834666496 9.55557160267139777290 21.81648054575444609179
90 -479756288 23.25772217751010350407 36.80058726772311882826
90 -353370112 7.81193782686793951573 169.15084024722739171234
90 -83612 16.77708462884996556780 155.02339798770844850076
90 -2239168 7.94474238335122360556 108.77224119994140643811
90 -1296 4.33572118380695350049 4.48754361902080598828
90 -225488 5.23206505677441305257 2.96025486731010808232
90 -32770 10.54287190224788825727 30.10456501673839034265
90 -67950592 4.97816912314856430000 5.65443588198367322659
90 -2830080 9.76259217087177024253 27.25960850061127705899
90 -44058 17.28088956432860602929 18.05381336092927202235
90 -1607232 15.65731166256440874209 13.74009777252141304809
90 -36524 10.28626553573445162221 28.86527286572592301754
90 -1485184 5.83931047613257398880 4.73353438402816801305
90 -57386 9.20821732650951903054 6.78253222100146885659
#90 1861091328
90 -52144 11.39209402801021748313 68.40318414498628662055
90 -2368 15.81641197528389068783 3.75251638078274725427
